year,host_country,host_city,country,gold,silver,bronze
1972,Federal Republic of Germany,Munich,Jamaica,0,0,1
1972,Federal Republic of Germany,Munich,Japan,13,8,8
1972,Federal Republic of Germany,Munich,Kenya,2,3,4
1972,Federal Republic of Germany,Munich,Lebanon,0,1,0
1972,Federal Republic of Germany,Munich,Mexico,0,1,0
1972,Federal Republic of Germany,Munich,Mongolia,0,1,0
1972,Federal Republic of Germany,Munich,Netherlands,3,1,1
1972,Federal Republic of Germany,Munich,New Zealand,1,1,1
1972,Federal Republic of Germany,Munich,Niger,0,0,1
1972,Federal Republic of Germany,Munich,Nigeria,0,0,1
1972,Federal Republic of Germany,Munich,Norway,2,1,1
1972,Federal Republic of Germany,Munich,Pakistan,0,1,0
1972,Federal Republic of Germany,Munich,Poland,7,5,9
1972,Federal Republic of Germany,Munich,Republic of Korea,0,1,0
1972,Federal Republic of Germany,Munich,Romania,3,6,7
1972,Federal Republic of Germany,Munich,Spain,0,0,1
1972,Federal Republic of Germany,Munich,Sweden,4,6,6
1972,Federal Republic of Germany,Munich,Switzerland,0,3,0
1972,Federal Republic of Germany,Munich,Tunisia,0,1,0
1972,Federal Republic of Germany,Munich,Turkey,0,1,0
1972,Federal Republic of Germany,Munich,USSR,50,27,22
1972,Federal Republic of Germany,Munich,Uganda,1,1,0
1972,Federal Republic of Germany,Munich,United Kingdom,4,5,9
1972,Federal Republic of Germany,Munich,United States of America,33,31,30
1972,Federal Republic of Germany,Munich,Yugoslavia,2,1,2
1968,Mexico,Mexico City,Argentina,0,0,2
1968,Mexico,Mexico City,Australia,5,7,5
1968,Mexico,Mexico City,Austria,0,2,2
1968,Mexico,Mexico City,Belgium,0,1,1
1968,Mexico,Mexico City,Brazil,0,1,2
1968,Mexico,Mexico City,Bulgaria,2,4,3
1968,Mexico,Mexico City,Cameroon,0,1,0
1968,Mexico,Mexico City,Canada,1,3,1
1968,Mexico,Mexico City,Chinese Taipei,0,0,1
1968,Mexico,Mexico City,Cuba,0,4,0
1968,Mexico,Mexico City,Czechoslovakia,7,2,4
1968,Mexico,Mexico City,Denmark,1,4,3
1968,Mexico,Mexico City,Ethiopia,1,1,0
1968,Mexico,Mexico City,Federal Republic of Germany,5,11,10
1968,Mexico,Mexico City,Finland,1,2,1
1968,Mexico,Mexico City,France,7,3,5
1968,Mexico,Mexico City,German Democratic Republic (Germany),9,9,7
1968,Mexico,Mexico City,Greece,0,0,1
1968,Mexico,Mexico City,Hungary,10,10,12
1968,Mexico,Mexico City,India,0,0,1
1968,Mexico,Mexico City,Islamic Republic of Iran,2,1,2
1968,Mexico,Mexico City,Italy,3,4,9
1968,Mexico,Mexico City,Jamaica,0,1,0
1968,Mexico,Mexico City,Japan,11,7,7
1968,Mexico,Mexico City,Kenya,3,4,2
1968,Mexico,Mexico City,Mexico,3,3,3
1968,Mexico,Mexico City,Mongolia,0,1,3
1968,Mexico,Mexico City,Netherlands,3,3,1
1968,Mexico,Mexico City,New Zealand,1,0,2
1968,Mexico,Mexico City,Norway,1,1,0
1968,Mexico,Mexico City,Pakistan,1,0,0
1968,Mexico,Mexico City,Poland,5,2,11
1968,Mexico,Mexico City,Republic of Korea,0,1,1
1968,Mexico,Mexico City,Romania,4,6,5
1968,Mexico,Mexico City,Sweden,2,1,1
1968,Mexico,Mexico City,Switzerland,0,1,4
1968,Mexico,Mexico City,Tunisia,1,0,1
1968,Mexico,Mexico City,Turkey,2,0,0
1968,Mexico,Mexico City,USSR,29,32,30
1968,Mexico,Mexico City,Uganda,0,1,1
1968,Mexico,Mexico City,United Kingdom,5,5,3
1968,Mexico,Mexico City,United States of America,45,28,34
1968,Mexico,Mexico City,Venezuela,1,0,0
1968,Mexico,Mexico City,Yugoslavia,3,3,2
1964,Japan,Tokyo,Argentina,0,1,0
1964,Japan,Tokyo,Australia,6,2,10
1964,Japan,Tokyo,Bahamas,1,0,0
1964,Japan,Tokyo,Belgium,2,0,1
1964,Japan,Tokyo,Brazil,0,0,1
1964,Japan,Tokyo,Bulgaria,3,5,2
1964,Japan,Tokyo,Canada,1,2,1
1964,Japan,Tokyo,Cuba,0,1,0
1964,Japan,Tokyo,Czechoslovakia,5,6,3
1964,Japan,Tokyo,Denmark,2,1,3
1964,Japan,Tokyo,Ethiopia,1,0,0
1964,Japan,Tokyo,Finland,3,0,2
1964,Japan,Tokyo,France,1,8,6
1964,Japan,Tokyo,Germany,10,22,18
1964,Japan,Tokyo,Ghana,0,0,1
1964,Japan,Tokyo,Hungary,10,7,5
1964,Japan,Tokyo,India,1,0,0
1964,Japan,Tokyo,Ireland,0,0,1
1964,Japan,Tokyo,Islamic Republic of Iran,0,0,2
1964,Japan,Tokyo,Italy,10,10,7
1964,Japan,Tokyo,Japan,16,5,8
1964,Japan,Tokyo,Kenya,0,0,1
1964,Japan,Tokyo,Mexico,0,0,1
1964,Japan,Tokyo,Netherlands,2,4,4
1964,Japan,Tokyo,New Zealand,3,0,2
1964,Japan,Tokyo,Nigeria,0,0,1
1964,Japan,Tokyo,Pakistan,0,1,0
1964,Japan,Tokyo,Philippines,0,1,0
1964,Japan,Tokyo,Poland,7,6,10
1964,Japan,Tokyo,Republic of Korea,0,2,1
1964,Japan,Tokyo,Romania,2,4,6
1964,Japan,Tokyo,Sweden,2,2,4
1964,Japan,Tokyo,Switzerland,1,2,1
1964,Japan,Tokyo,Trinidad and Tobago,0,1,2
1964,Japan,Tokyo,Tunisia,0,1,1
1964,Japan,Tokyo,Turkey,2,3,1
1964,Japan,Tokyo,USSR,30,31,35
1964,Japan,Tokyo,United Kingdom,4,12,2
1964,Japan,Tokyo,United States of America,36,26,28
1964,Japan,Tokyo,Uruguay,0,0,1
1964,Japan,Tokyo,Yugoslavia,2,1,2
1960,Italy,Rome,Argentina,0,1,1
1960,Italy,Rome,Australia,8,8,6
1960,Italy,Rome,Austria,1,1,0
1960,Italy,Rome,Belgium,0,2,2
1960,Italy,Rome,Brazil,0,0,2
1960,Italy,Rome,Bulgaria,1,3,3
1960,Italy,Rome,Canada,0,1,0
1960,Italy,Rome,Chinese Taipei,0,1,0
1960,Italy,Rome,Czechoslovakia,3,2,3
1960,Italy,Rome,Denmark,2,3,1
1960,Italy,Rome,Ethiopia,1,0,0
1960,Italy,Rome,Finland,1,1,3
1960,Italy,Rome,France,0,2,3
1960,Italy,Rome,Germany,12,19,11
1960,Italy,Rome,Ghana,0,1,0
1960,Italy,Rome,Greece,1,0,0
1960,Italy,Rome,Hungary,6,8,7
1960,Italy,Rome,India,0,1,0
1960,Italy,Rome,Iraq,0,0,1
1960,Italy,Rome,Islamic Republic of Iran,0,1,3
1960,Italy,Rome,Italy,13,10,13
1960,Italy,Rome,Jamaica,0,0,2
1960,Italy,Rome,Japan,4,7,7
1960,Italy,Rome,Mexico,0,0,1
1960,Italy,Rome,Morocco,0,1,0
1960,Italy,Rome,Netherlands,0,1,2
1960,Italy,Rome,New Zealand,2,0,1
1960,Italy,Rome,Norway,1,0,0
1960,Italy,Rome,Pakistan,1,0,1
1960,Italy,Rome,Poland,4,6,11
1960,Italy,Rome,Portugal,0,1,0
1960,Italy,Rome,Romania,3,1,6
1960,Italy,Rome,Singapore,0,1,0
1960,Italy,Rome,South Africa,0,1,2
1960,Italy,Rome,Spain,0,0,1
1960,Italy,Rome,Sweden,1,2,3
1960,Italy,Rome,Switzerland,0,3,3
1960,Italy,Rome,Turkey,7,2,0
1960,Italy,Rome,USSR,43,29,31
1960,Italy,Rome,United Arab Emirates,0,1,1
1960,Italy,Rome,United Kingdom,2,6,12
1960,Italy,Rome,United States of America,34,21,16
1960,Italy,Rome,Venezuela,0,0,1
1960,Italy,Rome,Yugoslavia,1,1,0
1956,"Australia, Sweden",Melbourne,Argentina,0,1,1
1956,"Australia, Sweden",Melbourne,Australia,13,8,14
1956,"Australia, Sweden",Melbourne,Austria,0,0,2
1956,"Australia, Sweden",Melbourne,Bahamas,0,0,1
1956,"Australia, Sweden",Melbourne,Belgium,0,2,0
1956,"Australia, Sweden",Melbourne,Brazil,1,0,0
1956,"Australia, Sweden",Melbourne,Bulgaria,1,3,1
1956,"Australia, Sweden",Melbourne,Canada,2,1,2
1956,"Australia, Sweden",Melbourne,Chile,0,2,2
1956,"Australia, Sweden",Melbourne,Czechoslovakia,1,4,1
1956,"Australia, Sweden",Melbourne,Denmark,1,1,1
1956,"Australia, Sweden",Melbourne,Finland,3,1,11
1956,"Australia, Sweden",Melbourne,France,4,4,6
1956,"Australia, Sweden",Melbourne,Germany,4,10,6
1956,"Australia, Sweden",Melbourne,Greece,0,0,1
1956,"Australia, Sweden",Melbourne,Hungary,9,10,7
1956,"Australia, Sweden",Melbourne,Iceland,0,1,0
1956,"Australia, Sweden",Melbourne,India,1,0,0
1956,"Australia, Sweden",Melbourne,Ireland,1,1,3
1956,"Australia, Sweden",Melbourne,Islamic Republic of Iran,2,2,1
1956,"Australia, Sweden",Melbourne,Italy,8,6,8
1956,"Australia, Sweden",Melbourne,Japan,4,10,5
1956,"Australia, Sweden",Melbourne,Mexico,1,0,1
1956,"Australia, Sweden",Melbourne,New Zealand,2,0,0
1956,"Australia, Sweden",Melbourne,Norway,1,0,2
1956,"Australia, Sweden",Melbourne,Pakistan,0,1,0
1956,"Australia, Sweden",Melbourne,Poland,1,4,4
1956,"Australia, Sweden",Melbourne,Republic of Korea,0,1,1
1956,"Australia, Sweden",Melbourne,Romania,5,3,5
1956,"Australia, Sweden",Melbourne,South Africa,0,0,4
1956,"Australia, Sweden",Melbourne,Sweden,5,5,6
1956,"Australia, Sweden",Melbourne,Turkey,3,2,2
1956,"Australia, Sweden",Melbourne,USSR,37,29,32
1956,"Australia, Sweden",Melbourne,United Kingdom,5,7,9
1956,"Australia, Sweden",Melbourne,United States of America,32,25,17
1956,"Australia, Sweden",Melbourne,Uruguay,0,0,1
1956,"Australia, Sweden",Melbourne,Yugoslavia,0,3,0
1952,Finland,Helsinki,Argentina,1,2,2
1952,Finland,Helsinki,Australia,6,2,3
1952,Finland,Helsinki,Austria,0,1,1
1952,Finland,Helsinki,Belgium,2,2,0
1952,Finland,Helsinki,Brazil,1,0,2
1952,Finland,Helsinki,Bulgaria,0,0,1
1952,Finland,Helsinki,Canada,1,2,0
1952,Finland,Helsinki,Chile,0,2,0
1952,Finland,Helsinki,Czechoslovakia,7,3,3
1952,Finland,Helsinki,Denmark,2,1,3
1952,Finland,Helsinki,Egypt,0,0,1
1952,Finland,Helsinki,Finland,6,3,13
1952,Finland,Helsinki,France,6,6,6
1952,Finland,Helsinki,Germany,0,7,17
1952,Finland,Helsinki,Hungary,16,10,16
1952,Finland,Helsinki,India,1,0,1
1952,Finland,Helsinki,Ireland,0,1,0
1952,Finland,Helsinki,Islamic Republic of Iran,0,3,4
1952,Finland,Helsinki,Italy,8,9,4
1952,Finland,Helsinki,Jamaica,2,3,0
1952,Finland,Helsinki,Japan,1,6,2
1952,Finland,Helsinki,Lebanon,0,1,1
1952,Finland,Helsinki,Luxembourg,1,0,0
1952,Finland,Helsinki,Mexico,0,1,0
1952,Finland,Helsinki,Netherlands,0,5,0
1952,Finland,Helsinki,New Zealand,1,0,2
1952,Finland,Helsinki,Norway,3,2,0
1952,Finland,Helsinki,Poland,1,2,1
1952,Finland,Helsinki,Portugal,0,0,1
1952,Finland,Helsinki,Republic of Korea,0,0,2
1952,Finland,Helsinki,Romania,1,1,2
1952,Finland,Helsinki,South Africa,2,4,4
1952,Finland,Helsinki,Spain,0,1,0
1952,Finland,Helsinki,Sweden,12,13,10
1952,Finland,Helsinki,Switzerland,2,6,6
1952,Finland,Helsinki,Trinidad and Tobago,0,0,2
1952,Finland,Helsinki,Turkey,2,0,1
1952,Finland,Helsinki,USSR,22,30,19
1952,Finland,Helsinki,United Kingdom,1,2,8
1952,Finland,Helsinki,United States of America,40,19,17
1952,Finland,Helsinki,Uruguay,0,0,2
1952,Finland,Helsinki,Venezuela,0,0,1
1952,Finland,Helsinki,Yugoslavia,1,2,0
1948,Great Britain,London,Argentina,3,3,1
1948,Great Britain,London,Australia,2,6,5
1948,Great Britain,London,Austria,2,2,4
1948,Great Britain,London,Belgium,2,2,3
1948,Great Britain,London,Brazil,0,0,1
1948,Great Britain,London,Canada,0,2,2
1948,Great Britain,London,Cuba,0,1,0
1948,Great Britain,London,Czechoslovakia,6,2,3
1948,Great Britain,London,Denmark,5,8,9
1948,Great Britain,London,Egypt,2,2,1
1948,Great Britain,London,Finland,10,8,6
1948,Great Britain,London,France,11,6,15
1948,Great Britain,London,Hungary,10,5,13
1948,Great Britain,London,India,1,0,0
1948,Great Britain,London,Ireland,0,0,1
1948,Great Britain,London,Islamic Republic of Iran,0,0,1
1948,Great Britain,London,Italy,9,12,10
1948,Great Britain,London,Jamaica,1,2,0
1948,Great Britain,London,Mexico,2,1,2
1948,Great Britain,London,Netherlands,5,2,9
1948,Great Britain,London,Norway,1,3,3
1948,Great Britain,London,Panama,0,0,2
1948,Great Britain,London,Peru,1,0,0
1948,Great Britain,London,Poland,1,0,1
1948,Great Britain,London,Portugal,0,1,1
1948,Great Britain,London,Puerto Rico,0,0,1
1948,Great Britain,London,Republic of Korea,0,0,2
1948,Great Britain,London,South Africa,2,2,2
1948,Great Britain,London,Spain,0,1,0
1948,Great Britain,London,Sri Lanka,0,1,0
1948,Great Britain,London,Sweden,17,11,18
1948,Great Britain,London,Switzerland,5,12,6
1948,Great Britain,London,Trinidad and Tobago,0,1,0
1948,Great Britain,London,Turkey,6,4,2
1948,Great Britain,London,United Kingdom,4,16,7
1948,Great Britain,London,United States of America,38,27,19
1948,Great Britain,London,Uruguay,0,1,1
1948,Great Britain,London,Yugoslavia,0,2,0
1936,Germany,Berlin,Argentina,2,2,3
1936,Germany,Berlin,Australia,0,0,1
1936,Germany,Berlin,Austria,5,7,5
1936,Germany,Berlin,Belgium,0,0,3
1936,Germany,Berlin,Canada,1,3,5
1936,Germany,Berlin,Czechoslovakia,3,5,1
1936,Germany,Berlin,Denmark,0,2,3
1936,Germany,Berlin,Egypt,2,1,2
1936,Germany,Berlin,Estonia,2,2,3
1936,Germany,Berlin,Finland,8,6,6
1936,Germany,Berlin,France,7,6,6
1936,Germany,Berlin,Germany,38,31,32
1936,Germany,Berlin,Hungary,10,1,5
1936,Germany,Berlin,India,1,0,0
1936,Germany,Berlin,Italy,9,13,5
1936,Germany,Berlin,Japan,6,4,10
1936,Germany,Berlin,Latvia,0,1,1
1936,Germany,Berlin,Mexico,0,0,3
1936,Germany,Berlin,Netherlands,6,4,7
1936,Germany,Berlin,New Zealand,1,0,0
1936,Germany,Berlin,Norway,1,3,2
1936,Germany,Berlin,Philippines,0,0,1
1936,Germany,Berlin,Poland,0,4,5
1936,Germany,Berlin,Portugal,0,0,1
1936,Germany,Berlin,Romania,0,1,0
1936,Germany,Berlin,South Africa,0,1,0
1936,Germany,Berlin,Sweden,6,5,10
1936,Germany,Berlin,Switzerland,4,9,5
1936,Germany,Berlin,Turkey,1,0,1
1936,Germany,Berlin,United Kingdom,4,7,3
1936,Germany,Berlin,United States of America,24,21,12
1936,Germany,Berlin,Yugoslavia,0,1,0
1932,United States,Los Angeles,Argentina,3,1,0
1932,United States,Los Angeles,Australia,3,1,1
1932,United States,Los Angeles,Austria,1,1,3
1932,United States,Los Angeles,Belgium,0,0,1
1932,United States,Los Angeles,Canada,2,5,9
1932,United States,Los Angeles,Czechoslovakia,1,3,2
1932,United States,Los Angeles,Denmark,0,5,3
1932,United States,Los Angeles,Finland,5,8,12
1932,United States,Los Angeles,France,11,5,4
1932,United States,Los Angeles,Germany,5,12,7
1932,United States,Los Angeles,Hungary,6,5,5
1932,United States,Los Angeles,India,1,0,0
1932,United States,Los Angeles,Ireland,2,0,0
1932,United States,Los Angeles,Italy,12,12,12
1932,United States,Los Angeles,Japan,7,7,4
1932,United States,Los Angeles,Latvia,0,1,0
1932,United States,Los Angeles,Mexico,0,2,0
1932,United States,Los Angeles,Netherlands,2,5,1
1932,United States,Los Angeles,New Zealand,0,1,0
1932,United States,Los Angeles,Philippines,0,0,3
1932,United States,Los Angeles,Poland,3,2,4
1932,United States,Los Angeles,South Africa,2,0,3
1932,United States,Los Angeles,Spain,0,0,1
1932,United States,Los Angeles,Sweden,10,5,9
1932,United States,Los Angeles,Switzerland,0,1,0
1932,United States,Los Angeles,United Kingdom,5,7,5
1932,United States,Los Angeles,United States of America,44,36,30
1932,United States,Los Angeles,Uruguay,0,0,1
1928,Netherlands,Amsterdam,Argentina,3,3,1
1928,Netherlands,Amsterdam,Australia,1,2,1
1928,Netherlands,Amsterdam,Austria,3,0,1
1928,Netherlands,Amsterdam,Belgium,0,1,2
1928,Netherlands,Amsterdam,Canada,4,4,7
1928,Netherlands,Amsterdam,Chile,0,1,0
1928,Netherlands,Amsterdam,Czechoslovakia,2,5,2
1928,Netherlands,Amsterdam,Denmark,3,2,4
1928,Netherlands,Amsterdam,Egypt,2,1,1
1928,Netherlands,Amsterdam,Estonia,2,1,2
1928,Netherlands,Amsterdam,Finland,8,8,9
1928,Netherlands,Amsterdam,France,7,12,6
1928,Netherlands,Amsterdam,Germany,11,9,19
1928,Netherlands,Amsterdam,Haiti,0,1,0
1928,Netherlands,Amsterdam,Hungary,5,5,0
1928,Netherlands,Amsterdam,India,1,0,0
1928,Netherlands,Amsterdam,Ireland,1,0,0
1928,Netherlands,Amsterdam,Italy,7,6,7
1928,Netherlands,Amsterdam,Japan,2,2,1
1928,Netherlands,Amsterdam,Luxembourg,1,0,0
1928,Netherlands,Amsterdam,Netherlands,8,10,5
1928,Netherlands,Amsterdam,New Zealand,1,0,0
1928,Netherlands,Amsterdam,Norway,1,2,1
1928,Netherlands,Amsterdam,Philippines,0,0,1
1928,Netherlands,Amsterdam,Poland,2,1,4
1928,Netherlands,Amsterdam,Portugal,0,0,1
1928,Netherlands,Amsterdam,South Africa,1,0,2
1928,Netherlands,Amsterdam,Spain,1,0,0
1928,Netherlands,Amsterdam,Sweden,7,6,12
1928,Netherlands,Amsterdam,Switzerland,7,6,4
1928,Netherlands,Amsterdam,United Kingdom,4,11,7
1928,Netherlands,Amsterdam,United States of America,22,18,16
1928,Netherlands,Amsterdam,Uruguay,1,0,0
1928,Netherlands,Amsterdam,Yugoslavia,1,1,3
1924,France,Paris,Argentina,1,3,2
1924,France,Paris,Australia,3,1,2
1924,France,Paris,Austria,0,3,1
1924,France,Paris,Belgium,3,7,3
1924,France,Paris,Canada,0,3,1
1924,France,Paris,Czechoslovakia,1,4,5
1924,France,Paris,Denmark,2,6,3
1924,France,Paris,Estonia,1,1,4
1924,France,Paris,Finland,14,13,10
1924,France,Paris,France,14,15,12
1924,France,Paris,Greece,1,0,0
1924,France,Paris,Haiti,0,0,1
1924,France,Paris,Hungary,2,4,4
1924,France,Paris,Ireland,0,1,1
1924,France,Paris,Italy,8,3,5
1924,France,Paris,Japan,0,0,1
1924,France,Paris,Luxembourg,1,1,0
1924,France,Paris,Monaco,0,0,1
1924,France,Paris,Netherlands,4,1,6
1924,France,Paris,New Zealand,0,0,1
1924,France,Paris,Norway,5,2,3
1924,France,Paris,Poland,0,1,1
1924,France,Paris,Portugal,0,0,1
1924,France,Paris,Romania,0,0,1
1924,France,Paris,South Africa,1,1,1
1924,France,Paris,Sweden,4,13,12
1924,France,Paris,Switzerland,7,8,10
1924,France,Paris,United Kingdom,9,14,12
1924,France,Paris,United States of America,45,27,27
1924,France,Paris,Uruguay,1,0,0
1924,France,Paris,Yugoslavia,2,0,0
1920,Belgium,Antwerp,Australia,0,2,1
1920,Belgium,Antwerp,Belgium,16,12,14
1920,Belgium,Antwerp,Brazil,1,1,1
1920,Belgium,Antwerp,Canada,3,3,3
1920,Belgium,Antwerp,Czechoslovakia,0,0,2
1920,Belgium,Antwerp,Denmark,3,9,1
1920,Belgium,Antwerp,Estonia,1,2,0
1920,Belgium,Antwerp,Finland,15,10,9
1920,Belgium,Antwerp,France,9,20,13
1920,Belgium,Antwerp,Greece,0,1,0
1920,Belgium,Antwerp,Italy,14,6,5
1920,Belgium,Antwerp,Japan,0,2,0
1920,Belgium,Antwerp,Luxembourg,0,1,0
1920,Belgium,Antwerp,Netherlands,4,2,5
1920,Belgium,Antwerp,New Zealand,0,0,1
1920,Belgium,Antwerp,Norway,13,10,9
1920,Belgium,Antwerp,South Africa,3,4,3
1920,Belgium,Antwerp,Spain,0,2,0
1920,Belgium,Antwerp,Sweden,19,20,25
1920,Belgium,Antwerp,Switzerland,2,2,7
1920,Belgium,Antwerp,United Kingdom,14,16,13
1920,Belgium,Antwerp,United States of America,41,27,27
1912,Sweden,Stockholm,Australia,2,2,3
1912,Sweden,Stockholm,Austria,0,2,2
1912,Sweden,Stockholm,Belgium,2,1,3
1912,Sweden,Stockholm,Canada,3,2,3
1912,Sweden,Stockholm,Denmark,1,6,5
1912,Sweden,Stockholm,Finland,9,8,9
1912,Sweden,Stockholm,France,7,5,3
1912,Sweden,Stockholm,Germany,6,13,7
1912,Sweden,Stockholm,Greece,1,0,1
1912,Sweden,Stockholm,Hungary,3,2,3
1912,Sweden,Stockholm,Italy,5,1,2
1912,Sweden,Stockholm,Netherlands,0,0,3
1912,Sweden,Stockholm,Norway,3,2,5
1912,Sweden,Stockholm,Russian Federation,0,2,3
1912,Sweden,Stockholm,South Africa,4,2,0
1912,Sweden,Stockholm,Sweden,23,25,17
1912,Sweden,Stockholm,Switzerland,1,0,0
1912,Sweden,Stockholm,United Kingdom,10,15,16
1912,Sweden,Stockholm,United States of America,26,19,19
1908,Great Britain,London,Australia,1,2,2
1908,Great Britain,London,Austria,0,0,1
1908,Great Britain,London,Belgium,1,5,2
1908,Great Britain,London,Canada,3,3,10
1908,Great Britain,London,Czechia,0,0,2
1908,Great Britain,London,Denmark,0,2,3
1908,Great Britain,London,Finland,1,1,3
1908,Great Britain,London,France,5,5,9
1908,Great Britain,London,Germany,3,5,5
1908,Great Britain,London,Greece,0,3,1
1908,Great Britain,London,Hungary,3,4,2
1908,Great Britain,London,Italy,2,2,0
1908,Great Britain,London,Netherlands,0,0,2
1908,Great Britain,London,Norway,2,3,3
1908,Great Britain,London,Russian Federation,1,2,0
1908,Great Britain,London,South Africa,1,1,0
1908,Great Britain,London,Sweden,8,6,11
1908,Great Britain,London,United Kingdom,56,51,39
1908,Great Britain,London,United States of America,23,12,12
1904,United States,St. Louis,United States of America,76,78,77
1904,United States,St. Louis,Germany,4,5,6
1904,United States,St. Louis,Canada,4,1,1
1904,United States,St. Louis,Cuba,3,0,0
1904,United States,St. Louis,Hungary,2,1,1
1904,United States,St. Louis,Mixed team,2,1,1
1904,United States,St. Louis,Norway,2,0,0
1904,United States,St. Louis,Austria,1,1,1
1904,United States,St. Louis,Great Britain,1,1,0
1904,United States,St. Louis,Switzerland,1,0,2
1904,United States,St. Louis,Greece,1,0,1
1904,United States,St. Louis,Australia,0,3,1
1904,United States,St. Louis,France,0,1,0
1900,France,Paris,France,27,38,37
1900,France,Paris,United States of America,19,14,15
1900,France,Paris,Great Britain,15,8,9
1900,France,Paris,Mixed team,8,5,6
1900,France,Paris,Belgium,6,7,4
1900,France,Paris,Switzerland,6,2,1
1900,France,Paris,Germany,4,3,2
1900,France,Paris,Italy,3,2,0
1900,France,Paris,Australia,2,0,3
1900,France,Paris,Denmark,1,3,2
1896,Greece,Athens,Australia,2,0,1
1896,Greece,Athens,Austria,2,1,2
1896,Greece,Athens,Denmark,1,2,3
1896,Greece,Athens,France,5,4,2
1896,Greece,Athens,Germany,7,5,2
1896,Greece,Athens,Greece,10,18,19
1896,Greece,Athens,Hungary,2,1,3
1896,Greece,Athens,Mixed team,1,0,1
1896,Greece,Athens,Switzerland,1,2,0
1896,Greece,Athens,United Kingdom,3,3,3
1896,Greece,Athens,United States of America,11,7,2
